Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
1,CJ Abrams,21,TOT,302,.272,76,.291,.077,0.7%,16.6%,1.7%,85.2,31.1%,18.5%,50.0%,21.0%,1.05,27.7%,55.9%,16.4%,-1.0,-0.6%,-10.5,37%,64%,46%,abramcj01
2,CJ Abrams,21,SDP,139,.268,77,.276,.088,1.4%,19.4%,2.9%,83.7,28.7%,16.7%,48.0%,24.5%,1.00,25.5%,60.8%,13.7%,-0.9,-0.6%,-8.5,36%,33%,63%,abramcj01
3,CJ Abrams,21,WSN,163,.276,75,.301,.069,0.0%,14.1%,0.6%,86.3,32.8%,19.9%,51.5%,18.4%,1.09,29.4%,52.2%,18.4%,-0.1,0.0%,-2.1,37%,75%,36%,abramcj01
4,José Abreu,35,CHW,679,.368,137,.350,.141,2.2%,16.2%,9.1%,92.2,51.9%,25.1%,47.7%,24.0%,0.91,24.0%,56.0%,20.0%,1.6,1.0%,14.6,29%,,44%,abreujo02
5,Ronald Acuna Jr.,24,ATL,533,.346,117,.331,.148,2.8%,23.6%,9.9%,91.2,50.1%,21.2%,47.7%,24.7%,0.91,29.9%,53.8%,16.3%,1.3,0.6%,10.4,33%,73%,76%,acunaro01
6,Willy Adames,26,MIL,617,.328,110,.278,.220,5.0%,26.9%,7.9%,88.9,43.6%,22.7%,34.2%,33.4%,0.52,28.9%,53.1%,18.0%,2.0,1.0%,15.8,34%,73%,58%,adamewi01
7,Riley Adams,26,WSN,155,.257,65,.220,.134,3.2%,29.7%,7.7%,90.2,46.3%,18.8%,44.8%,28.1%,0.81,34.4%,50.0%,15.6%,-1.2,-0.1%,-14.0,27%,0%,18%,adamsri03
8,Jo Adell,23,LAA,285,.283,76,.338,.149,2.8%,37.5%,3.9%,87.1,37.7%,25.3%,40.1%,22.8%,0.68,34.8%,50.3%,14.9%,-1.7,-0.4%,-14.3,21%,67%,40%,adelljo01
9,Ehire Adrianza,32,TOT,110,.224,37,.233,.031,0.0%,22.7%,10.0%,83.2,21.9%,20.5%,49.3%,17.8%,1.03,38.4%,49.3%,12.3%,-0.9,-0.3%,-7.0,28%,100%,38%,adriaeh01
10,Ehire Adrianza,32,WSN,94,.217,33,.238,.024,0.0%,23.4%,8.5%,81.8,19.0%,20.6%,49.2%,15.9%,1.03,33.3%,57.1%,9.5%,-0.7,0.0%,-5.8,21%,100%,33%,adriaeh01
11,Ehire Adrianza,32,ATL,16,.265,60,.200,.077,0.0%,18.8%,18.8%,92.2,40.0%,20.0%,50.0%,30.0%,1.00,70.0%,0.0%,30.0%,-0.2,-0.3%,-1.2,60%,,50%,adriaeh01
12,Jesús Aguilar,32,TOT,507,.294,84,.278,.144,3.2%,23.5%,5.5%,87.8,36.4%,26.9%,32.6%,30.9%,0.48,24.6%,57.4%,18.0%,0.7,0.2%,-10.1,18%,100%,30%,aguilje01
13,Jesús Aguilar,32,MIA,456,.300,88,.278,.152,3.3%,23.3%,5.9%,87.7,36.4%,25.8%,32.8%,31.8%,0.49,24.5%,57.3%,18.2%,0.7,0.3%,-5.9,19%,100%,27%,aguilje01
14,Jesús Aguilar,32,BAL,51,.242,46,.286,.082,2.0%,25.5%,2.0%,88.4,36.1%,36.1%,30.6%,22.2%,0.44,25.0%,58.3%,16.7%,-0.1,-0.1%,-4.2,9%,,100%,aguilje01
15,Ryan Aguilar,27,LAA,26,.198,15,.333,.045,0.0%,53.9%,7.7%,93.3,33.3%,33.3%,22.2%,44.4%,0.29,44.4%,55.6%,0.0%,-0.1,0.0%,-2.7,33%,,0%,aguilry01
16,Nick Ahmed,32,ARI,54,.306,101,.265,.212,5.6%,27.8%,3.7%,85.3,32.4%,13.5%,56.8%,27.0%,1.40,32.4%,48.6%,18.9%,-0.1,0.0%,-2.0,36%,0%,100%,ahmedni01
17,Hanser Alberto,29,LAD,159,.282,71,.279,.122,1.3%,15.7%,1.9%,81.3,18.3%,19.8%,47.3%,26.0%,0.95,31.3%,54.2%,14.5%,-0.2,-0.1%,-10.5,28%,0%,30%,alberha01
18,Ozzie Albies,25,ATL,269,.300,90,.270,.162,3.0%,17.5%,6.0%,87.1,26.5%,21.1%,38.7%,31.9%,0.63,33.8%,53.9%,12.3%,-0.5,-0.3%,-0.3,39%,38%,53%,albieoz01
19,Sergio Alcántara,25,TOT,224,.273,74,.267,.137,2.7%,25.5%,5.4%,85.5,32.5%,20.8%,43.5%,30.5%,0.80,27.9%,52.6%,19.5%,0.4,-0.6%,-3.1,32%,33%,46%,alcanse01
20,Sergio Alcántara,25,ARI,186,.308,95,.287,.165,3.2%,24.2%,5.4%,85.9,33.8%,20.0%,44.6%,29.2%,0.84,26.2%,54.6%,19.2%,1.2,0.0%,5.1,32%,100%,38%,alcanse01
21,Sergio Alcántara,25,SDP,38,.105,-25,.167,.000,0.0%,31.6%,5.3%,83.5,25.0%,25.0%,37.5%,37.5%,0.60,37.5%,41.7%,20.8%,-0.8,-0.6%,-8.1,33%,0%,67%,alcanse01
22,Jorge Alfaro,29,SDP,274,.291,89,.364,.137,2.6%,35.8%,4.0%,89.4,39.0%,26.7%,47.2%,23.0%,0.89,26.1%,48.4%,25.5%,0.4,0.2%,-0.2,25%,100%,47%,alfarjo01
23,Anthony Alford,27,PIT,4,.200,16,.500,.000,0.0%,50.0%,0.0%,82.9,0.0%,0.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.6,0%,,,alforan01
24,Austin Allen,28,OAK,16,.144,-18,.200,.000,0.0%,56.3%,6.3%,92.7,60.0%,0.0%,40.0%,40.0%,0.67,20.0%,40.0%,40.0%,-0.2,-0.2%,-2.4,33%,,25%,allenau01
25,Greg Allen,29,PIT,134,.254,48,.267,.085,1.5%,31.3%,7.5%,84.0,32.5%,17.5%,47.5%,22.5%,1.06,41.3%,42.5%,16.3%,-1.0,0.0%,-9.0,40%,80%,67%,allengr01
26,Nick Allen,23,OAK,326,.248,57,.250,.084,1.2%,19.6%,5.8%,81.3,22.3%,20.7%,49.2%,19.8%,1.06,18.2%,49.6%,32.2%,-1.6,-0.1%,-18.0,35%,60%,58%,allenni02
27,Abraham Almonte,33,BOS,37,.333,103,.364,.143,2.7%,32.4%,2.7%,88.1,30.4%,26.1%,39.1%,21.7%,0.64,21.7%,65.2%,13.0%,-0.1,0.0%,0.4,55%,100%,33%,almonab01
28,Albert Almora,28,CIN,235,.284,68,.261,.126,2.1%,19.6%,7.2%,83.4,25.7%,23.4%,50.3%,18.1%,1.04,32.7%,49.7%,17.5%,-0.9,0.0%,-6.1,34%,60%,48%,almoral01
29,Pete Alonso,27,NYM,685,.371,143,.279,.246,5.8%,18.7%,9.8%,89.8,44.8%,23.0%,36.4%,30.5%,0.57,31.6%,49.6%,18.8%,2.5,1.7%,36.5,27%,83%,42%,alonspe01
30,Jose Altuve,32,HOU,604,.405,162,.315,.233,4.6%,14.4%,10.9%,84.8,29.9%,23.4%,39.9%,25.6%,0.69,36.5%,51.0%,12.5%,2.8,0.7%,35.8,36%,95%,37%,altuvjo01
31,José Alvarado,27,PHI,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,alvarjo03
32,Eddy Alvarez,32,LAD,27,.148,-39,.235,.000,0.0%,33.3%,0.0%,85.4,27.8%,16.7%,50.0%,27.8%,1.13,55.6%,22.2%,22.2%,0.0,0.0%,-3.7,17%,100%,100%,alvared01
33,Francisco Álvarez,20,NYM,14,.335,117,.143,.333,7.1%,28.6%,14.3%,89.1,37.5%,12.5%,50.0%,37.5%,1.00,25.0%,62.5%,12.5%,-0.4,-0.9%,-1.6,67%,,50%,alvarfr01
34,Yordan Alvarez,25,HOU,561,.426,183,.320,.306,6.6%,18.9%,13.9%,95.2,60.0%,27.0%,39.9%,30.5%,0.66,31.5%,54.2%,14.3%,5.1,2.4%,42.7,30%,50%,46%,alvaryo01
35,Brian Anderson,29,MIA,383,.300,88,.291,.124,2.1%,26.4%,9.7%,88.7,42.2%,21.4%,51.3%,22.3%,1.05,29.0%,50.8%,20.2%,-1.6,-0.1%,-8.1,32%,100%,30%,anderbr06
36,Tim Anderson,29,CHW,351,.332,105,.347,.093,1.7%,15.7%,4.0%,88.2,41.5%,27.4%,55.2%,17.0%,1.23,22.7%,51.6%,25.6%,-0.7,-0.3%,-3.2,39%,100%,57%,anderti01
37,Tyler Anderson,32,LAD,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,anderty01
38,Elvis Andrus,33,TOT,577,.322,105,.272,.155,3.0%,15.9%,6.8%,87.5,34.9%,22.8%,45.6%,22.1%,0.85,28.2%,51.0%,20.8%,0.8,0.3%,-0.5,31%,82%,72%,andruel01
